,QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote,year
0,USNORC.SRS330.QS01,"CIVIL RIGHTS, SEGREGATION, INTEGRATION, RACE RELATIONS, NEGRO PROBLEM",46,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
1,USNORC.SRS330.QS01,"UNEMPLOYMENT, AUTOMATION, LOSS OF JOBS, DEPRESSION, ECONOMIC GROWTH",24,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
2,USNORC.SRS330.QS01,"HIGH PRICES, COST OF LIVING, LOW WAGES",4,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
3,USNORC.SRS330.QS01,"GOVERNMENT SPENDING, BUDGET, TAXES, PUBLIC DEBT",13,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
4,USNORC.SRS330.QS01,"FOREIGN AID--HELPING OTHER COUNTRIES, STOP SPENDING ABROAD AND USE THE MONEY HERE AT HOME, CUT DOWN ON FOREIGN AID",9,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
5,USNORC.SRS330.QS01,"PUBLIC HEALTH, MEDICARE FOR AGED, MEDICAL COSTS, MEDICAL RESEARCH--MENTAL HEALTH, RETARDED CHILDREN",2,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
6,USNORC.SRS330.QS01,"EDUCATION--SCHOOL DROPOUTS, NOT ENOUGH SCHOOLS, NOT ENOUGH TEACHERS, IMPROVE CURRICULUM",8,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
7,USNORC.SRS330.QS01,"LOSS OR LACK OF RELIGION, SCHOOL PRAYER DECISION--NOT ENOUGH CHURCH GOING, GET THE BIBLE BACK IN SCHOOLS, NOT ENOUGH PRAYER",5,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
8,USNORC.SRS330.QS01,"CRIME, VIOLENCE--THE SYNDICATE, KIDNAPPINGS, MUGGINGS, SHOOTINGS (INCLUDES JUVENILE CRIME, BUT NOT JUVENILE 'DELINQUENCY')",2,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
9,USNORC.SRS330.QS01,"LACK OR LOSS OF MORAL STANDARDS GENERALLY--TOO MUCH DRINKING, PARENTS DON'T RAISE CHILDREN PROPERLY, TEENAGE SEX, CORRUPTION IN POLITICS, PEOPLE ARE SELFISH, EVERYBODY OUT FOR SELF, DELINQUENCY",6,WHAT IN YOUR OPINION ARE SOME OF THE MOST IMPORTANT PROBLEMS FACING THE UNITED STATES TODAY? ANY OTHERS?,ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES A SEPARATE LIST OF WORDS USED TO DESCRIBE THE CIVIL RIGHTS PROBLEMS WERE CODED SEPARATELY AND ARE AVAILABLE.,,12/1/1963,National Opinion Research Center (NORC),,NORC SRS-Amalgam,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,"THE STUDY INCLUDED A NATIONAL ADULT SAMPLE OF 1413, AND A SUPPLEMENTAL SAMPLE OF 144 YOUTH AGE 21-24. THE YOUTH RESULTS ARE AVAILABLE AT THE ROPER CENTER.",1963
